index,character,episode,line,season
0,Scene,1, A corridor at a sperm bank.,1
1,Sheldon,1," So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it‰Ûªs unobserved it will, however, if it‰Ûªs observed after it‰Ûªs left the plane but before it hits its target, it will not have gone through both slits.",1
2,Leonard,1," Agreed, what‰Ûªs your point?",1
3,Sheldon,1," There‰Ûªs no point, I just think it‰Ûªs a good idea for a tee-shirt. ",1
4,Leonard,1, Excuse me?,1
5,Receptionist,1, Hang on. ,1
6,Leonard,1," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is‰Û_ move your finger‰Û_ phylum, which makes fourteen across Port-au-Prince. See, Papa Doc‰Ûªs capital idea, that‰Ûªs Port-au-Prince. Haiti. ",1
7,Receptionist,1, Can I help you?,1
8,Leonard,1," Yes. Um, is this the High IQ sperm bank?",1
9,Receptionist,1," If you have to ask, maybe you shouldn‰Ûªt be here.",1
10,Sheldon,1, I think this is the place.,1
11,Receptionist,1, Fill these out.,1
12,Leonard,1, Thank-you. We‰Ûªll be right back.,1
13,Receptionist,1," Oh, take your time. I‰Ûªll just finish my crossword puzzle. Oh wait.",1
14,Sheldon,1," Leonard, I don‰Ûªt think I can do this.",1
15,Leonard,1," What, are you kidding? You‰Ûªre a semi-pro. ",1
16,Sheldon,1," No. We are committing genetic fraud. There‰Ûªs no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers.",1
17,Leonard,1," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.",1
18,Sheldon,1," I know, and I do yearn for faster downloads, but there‰Ûªs some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn‰Ûªt know if he should use an integral or a differential to solve the area under a curve.",1
19,Leonard,1, I‰Ûªm sure she‰Ûªll still love him.,1
20,Sheldon,1, I wouldn‰Ûªt.,1
21,Leonard,1," Well, what do you want to do?",1
22,Sheldon,1, I want to leave.,1
23,Leonard,1, Okay.,1
24,Sheldon,1, What‰Ûªs the protocol for leaving?,1
25,Leonard,1," I don‰Ûªt know, I‰Ûªve never reneged on a proffer of sperm before.",1
26,Sheldon,1, Let‰Ûªs try just walking out.,1
27,Sheldon,1, Bye-bye,1
28,Leonard,1, See you.,1
29,Scene,1, The stairs of the apartment building.,1
30,Sheldon,1, Are you still mad about the sperm bank?,1
31,Leonard,1, No.,1
32,Sheldon,1, You want to hear an interesting thing about stairs?,1
33,Leonard,1, Not really.,1
34,Sheldon,1," If the height of a single step is off by as little as two millimetres, most people will trip.",1
35,Leonard,1, I don‰Ûªt care. Two millimetres? That doesn‰Ûªt seem right.,1
36,Sheldon,1," No, it‰Ûªs true, I did a series of experiments when I was twelve, my father broke his clavicle.",1
37,Leonard,1, Is that why they sent you to boarding school?,1
38,Sheldon,1," No, that was the result of my work with lasers.",1
39,Leonard,1, New neighbour?,1
40,Sheldon,1, Evidently.,1
41,Leonard,1, Significant improvement over the old neighbour.,1
42,Sheldon,1," Two hundred pound transvestite with a skin condition, yes she is.",1
43,Penny,1," Oh, hi!",1
44,Leonard,1, Hi.,1
45,Sheldon,1, Hi.,1
46,Leonard,1, Hi.,1
47,Sheldon,1, Hi.,1
48,Penny,1, Hi?,1
49,Leonard,1," We don‰Ûªt mean to interrupt, we live across the hall.",1
50,Penny,1," Oh, that‰Ûªs nice.",1
51,Leonard,1," Oh‰Û_ uh‰Û_ no‰Û_ we don‰Ûªt live together‰Û_ um‰Û_ we live together but in separate, heterosexual bedrooms.",1
52,Penny,1," Oh, okay, well, guess I‰Ûªm your new neighbour, Penny.",1
53,Leonard,1," Leonard, Sheldon.",1
54,Penny,1, Hi.,1
55,Leonard,1, Hi.,1
56,Sheldon,1, Hi.,1
57,Penny,1, Hi. ,1
58,Leonard,1," Hi. Well, uh, oh, welcome to the building.",1
59,Penny,1," Thankyou, maybe we can have coffee sometime.",1
60,Leonard,1," Oh, great.",1
61,Penny,1, Great. ,1
62,Sheldon,1, Great.,1
63,Leonard,1," Great. Well, bye.",1
64,Penny,1, Bye.,1
65,Sheldon,1, Bye.,1
66,Leonard,1, Bye. ,1
67,Leonard,1, Should we have invited her for lunch?,1
68,Sheldon,1, No. We‰Ûªre going to start Season Two of Battlestar Galactica.,1
