index,episode,season,line
1,1,2,"Summer:ÊHurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom."
2,1,2,
3,1,2,"Morty:ÊI know how to vacuum Mom and Dad, Summer, I've been doing it for six months!"
4,1,2,
5,1,2,Summer:ÊThen you've been doing itÊwrongÊfor six months. Oh my god is that mildew?
6,1,2,
7,1,2,Morty:ÊIt's not my fault we froze time on a humid day!
8,1,2,
9,1,2,"Summer:ÊYou have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?"
10,1,2,
11,1,2,Morty:ÊWhat? What kind of monster are you?
12,1,2,
13,1,2,Summer:ÊA competent one.
14,1,2,
15,1,2,Rick:ÊWho cares about the *belch* thing you guys are talking about. The whole point of freezing time is to stop giving a f***. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.
16,1,2,
17,1,2,(Morty puts shirt on Jerry backwards.)
18,1,2,
19,1,2,"Rick:ÊAlright, listen you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize."
20,1,2,
21,1,2,Morty:ÊOur time is gonna be unstable? What does that even mean?
22,1,2,
23,1,2,"Rick:ÊIt means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards."
24,1,2,
25,1,2,"Morty:ÊWait a minute, what?"
26,1,2,
27,1,2,Rick:ÊAnd away we go!
28,1,2,
29,1,2,(Rick unfreezes time.)
30,1,2,
31,1,2,(Mr. Benson falls off the roof.)
32,1,2,
33,1,2,"Morty:ÊUh, did we ever put that mattress under Mr. Benson?"
34,1,2,
35,1,2,"Rick:ÊShhh, Morty!"
36,1,2,
37,1,2,(Jerry opens the door angrily)
38,1,2,
39,1,2,"Jerry:Ê...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed."
40,1,2,
41,1,2,"Rick:ÊNegative visualization, Jerry. It explains a lot about where you're at. Hi, sweety."
42,1,2,
43,1,2,"Beth:ÊHi, dad."
44,1,2,
45,1,2,(Summer and Morty recoil from Beth as she approaches to hug Rick)
46,1,2,
47,1,2,"Beth:ÊSummer, Morty, are you okay?"
48,1,2,
49,1,2,Morty:ÊW-We just missed you a lot.
50,1,2,
51,1,2,"Summer:ÊYeah, we missed you so much. Too much to hug you though."
52,1,2,
53,1,2,(Rick motions Summer and Morty behind him.)
