index,character,episode,line,season
0,"<!--google_ad_client = ""ca-pub-4355410371465348"";/* html-in_content-top_left */google_ad_slot = ""4619537930"";google_ad_width = 300;google_ad_height = 250;//-->Looking for  a great gift idea for the holidays? Check out our complete Seinfeld Gift Guide right now! Including T-Shirts, DVDs,  and more!Â              [Scene",1, Comedy club],1
1,[Scene,1," Pete's luncheonette. Jerry and George are sitting at a               table.]",1
2,GEORGE,1, Are you through? [kind of irritated],1
3,JERRY,1," You do of course try on, when you buy?",1
4,GEORGE,1," Yes, it was purple, I liked it, I don't actually recall               considering the buttons.",1
5,JERRY,1," Oh, you don't recall?",1
6,GEORGE,1," [pretends he's talking into a microphone] Uh, no, not at               this time.",1
7,JERRY,1," Well, senator, I just like to know, what you knew and when               you knew it. [a waitress approaches the table]",1
8,WAITRESS,1," Mister Seinfeld. [she pours coffee in his cup] Mister               Costanza. [she wants to pour coffee, but George stops her]",1
9,GEORGE,1," Are, are you sure this is decaf? Where's the orange indicator?",1
10,JERRY,1," Can you relax, it's a cup of coffee, Claire is a professional               waitress.",1
11,GEORGE,1, How come you're not doin' the second show tomorrow?,1
12,JERRY,1," Well, there's this uh, woman might be comin' in.",1
13,GEORGE,1," Wait a second, wait a second, what coming in, what woman               is coming in?",1
14,JERRY,1," I told you about Laura, the girl I met in Michigan?",1
15,GEORGE,1," No, you didn't!",1
16,JERRY,1," I thought I told you about it, yes, she teaches political               science? I met her the night I did the show in Lansing...[looks               in the milk can] There's no milk in here, what...",1
17,GEORGE,1," Wait wait wait, what is she, [takes the milk can from Jerry               and puts it on the table] what is she like?",1
18,JERRY,1," Oh, she's really great. I mean, she's got like a real warmth               about her and she's really bright and really pretty and uh...the               conversation though, I mean, it was...talking with her is like talking               with you, but, ya know, obviously much better.",1
19,GEORGE,1," [with a big smile] So, ya know, what, what happened?",1
20,JERRY,1," Oh, nothing happened, ya know, but is was great.",1
21,GEORGE,1," Oh, nothing happened, but it was...",1
22,JERRY,1, Yeah.,1
23,GEORGE,1, This is great!,1
24,JERRY,1, Yeah.,1
25,GEORGE,1," So, ya know, she calls and says she wants to go out with               you tomorrow night? God bless! Devil you!",1
26,JERRY,1," Yeah, well...not exactly. I mean, she said, you know, she               called this morning and said she had to come in for a seminar and               maybe we'll get together. ",1
27,GEORGE,1," [whistles disapproving] Ho ho ho, ""Had to""? ""Had               to come in""?",1
28,JERRY,1," Yeah, but...",1
29,GEORGE,1," ""Had to come in"" and ""maybe we'll get together""?               ""Had to"" and ""Maybe""?",1
30,JERRY,1, Yeah!,1
31,JERRY,1," [indignant] What, are you serious...why, why did she call?",1
32,GEORGE,1," How do I know, maybe, ya know, maybe she wanted to be polite.             ",1
33,JERRY,1, To be polite? You are insane!,1
34,GEORGE,1," All right, all right, I didn't want to tell you this, you               wanna know why she called you?",1
35,JERRY,1, Yes!,1
36,GEORGE,1," You're a back-up, you're a second-line, a just-in-case,               a B-plan of contingency!",1
37,JERRY,1," Oh, I get it, this is about the button.",1
38,GEORGE,1," [The waitress(Claire) passes the table; George stops her               and writes something on his note-block] Claire, Claire, you're a               woman, right?",1
39,CLAIRE,1," What gave it away, George?",1
40,GEORGE,1," Uhm...I'd like to ask you...ask you to analyze a hypothetical               phone call, ya know, from a female point of view.",1
41,JERRY,1," [to George] Oh, come on now, what are you asking her? Now,               how is she gonna know?",1
42,GEORGE,1," [to Claire] Now, a woman calls me, all right? She says               she has to [makes some gestures to accent ""has to""] come               to New York on business...",1
43,JERRY,1, Oh you are beautiful! [ironically] ,1
44,GEORGE,1," and, and maybe [again some gestures] she'll see me when               she gets there, does this woman intend to spend time with me?",1
45,GEORGE,1, [to Claire] So why did she call?,1
46,CLAIRE,1, To be polite.,1
47,GEORGE,1," To be polite, I rest my case.",1
48,JERRY,1," Good. Did you have fun? You have no idea, what you're talking               about, now, come on, come with me [stands up], I, I gotta go get               my stuff out of the dryer anyway.",1
49,GEORGE,1, I'm not gonna watch you do laundry.,1
50,JERRY,1," Oh, come on, be a ""come-with-guy"".",1
51,GEORGE,1," Come on, I'm tired.",1
52,GEORGE,1," [takes off his glasses and rubs his eyes; panics] Right,               I knew I felt something...! [Jerry is laughing, Claire walks away               with a smile]",1
53,[Scene,1," Laundry. Jerry and George are there; George is staring               at one of the dryers]",1
54,GEORGE,1," I need a break, Jerry, ya know, I gotta get out of the               city, I feel so cramped...",1
55,JERRY,1, And you didn't even hear how she sounded.,1
56,GEORGE,1, What?!,1
57,JERRY,1, Laura.,1
58,JERRY,1," Yeah, but how could you be so sure?",1
59,GEORGE,1," [gets up] 'Cause it's signals, Jerry [starts snapping his               fingers], it's signals! Don't you....all right. Did she even ask               you, what you were doin' tomorrow night, if you were busy?",1
60,JERRY,1, No.,1
61,GEORGE,1," She calls you today and she doesn't make a plan for tomorrow?               What is that? It's Saturday night!",1
62,JERRY,1, Yeah.,1
63,GEORGE,1," What is that? It's ridiculous! [Jerry bobs agreeingly]               You don't even know, what hotel she's staying at, you can't call               her. That's a signal, Jerry, that's a signal! [snaps his fingers               again] Signal!",1
64,JERRY,1, Maybe you're right.,1
65,GEORGE,1, Maybe I'm right? Of course I'm right.,1
66,JERRY,1," This is insane. You know, I don't even know where she's               staying! She, she's not gonna call me, this is unbelievable.",1
67,GEORGE,1," [puts an arm around Jerry and whispers] I know, I know.               [normal voice] Listen, your stuff has to be done by know, why don't               you just see if it's dried?",1
68,JERRY,1," No no no, don't interrupt the cycle. The machine is working,               it, it knows what it's doing, just let it finish.",1
69,GEORGE,1," You're gonna ""overdry"" it.",1
