,character,episode,line,season
0,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",1," Sponge Out of Water


SpongeBob SquarePants 3


",1
1,"
The SpongeBob Movie",1," Sponge Out of Water
",1
2,"
Specials


Plankton's Special Sinister Commentary


Square Roots",1," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",1
3,"
Square Roots",1," The Story of SpongeBob SquarePants
",1
4,"
SpongeBob SquarePants 4-D",1," Ride
",1
5,"
SpongeBob SquarePants 4-D",1," The Great Jelly Rescue!
",1
6,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",2," Sponge Out of Water


SpongeBob SquarePants 3


",1
7,"
The SpongeBob Movie",2," Sponge Out of Water
",1
8,"
Specials


Plankton's Special Sinister Commentary


Square Roots",2," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",1
9,"
Square Roots",2," The Story of SpongeBob SquarePants
",1
10,"
SpongeBob SquarePants 4-D",2," Ride
",1
11,"
SpongeBob SquarePants 4-D",2," The Great Jelly Rescue!
",1
12,SpongeBob,2," [SpongeBob walks outside, and breathes in the fresh air] Ahh, what a wonderful day. The sun is out, the water is shimmering, scallops are chirping. So peaceful. [SpongeBob immediately grabs wood, a hammer, and some nails, and starts to noisily build a stand. Squidward peeks his head out the window]
",1
13,Squidward,2," Can we lower the volume, please? I can't work with all that racket going on!
",1
14,SpongeBob,2," Oh, sure thing, Squidward.
",1
15,Squidward,2," Yes. Mmm. Right. Mmm.
",1
16,SpongeBob,2," Okay. [he taps on a nail lightly, and he looks up at Squidward's window. He does it again, and continues to, making sure he doesn't make too much noise. Meanwhile, in Squidward's house, Squidward has his clarinet in hand]
",1
17,Squidward,2," And now... for some soothing sounds from Squidward's clarinet. Thank you, thank you. [He starts to play. SpongeBob looks up and sees that Squidward is playing, so he decides to finish his stand quickly. Squidward looks out the window again.]
",1
18,Squidward,2," I thought I... Wha?
",1
19,SpongeBob,2," Hey, Squidward! Wanna blow some bubbles? Only 25 cents.
",1
20,Squidward,2," Oh, right. Like I would spend a moment of my time blowing bubbles.
",1
21,SpongeBob,2," Uh huh!
",1
22,Squidward,2," Oh, please! I mean, who in the world would pay to blow bubbles? [Patrick is comes out of his house, stuck to the underside of the rock]
",1
23,Patrick,2," Good morning! [he falls and screams]
",1
24,Squidward,2," Oh, boy. [Patrick walks over to SpongeBob]
",1
25,SpongeBob,2," Good morning to you, sir. Would you care to blow a bubble?
",1
26,Patrick,2," Hmm, how much is it?
",1
27,SpongeBob,2," Only a quarter.
",1
28,Patrick,2," Sounds reasonable. [whispering] Uh, I'm going to need to borrow a quarter.
",1
29,SpongeBob,2," Sure thing, Patrick. [he pulls out a quarter and he gives it to Patrick]
",1
30,Patrick,2," Ah, one quarter. [he hands the quarter back to SpongeBob, and bites it to see if it's real]
",1
31,SpongeBob,2," Thank you. [cuts back to Squidward]
",1
32,Squidward,2," Hmm, business is booming. [he laughs] How did I ever get surrounded by such loser neighbors? Uh huh. [he continues playing. Cut back to SpongeBob and Patrick. SpongeBob dips the wand in the bubble soap]
",1
33,SpongeBob,2," One bubble wand, dipped and ready to go. [Patrick grabs the wand from SpongeBob, inhales deeply and begins to blow, but a bubble doesn't come out. He pants and blows again. After a while, SpongeBob puts up a ""Lessons"" sign. Patrick then loses his breath] Could I interest you in some lessons? Only 25 cents.
",1
34,Patrick,2," Uh, very well, then. Hey, Sponge, can I borrow another quarter? [SpongeBob hands Patrick a quarter] Thanks. [he winks and hands the quarter back to SpongeBob]
",1
35,Patrick,2," Oooh. [SpongeBob pops out of nowhere and blows a box. Patrick giggles and SpongeBob blows a caterpillar] Ah! [The caterpillar then pops one-by-one, with descending sounds. Patrick continues to giggle. SpongeBob blows a boat, and it floats off, pops, and makes a foghorn noise. Cuts to inside of Squidward's house]
",1
36,Squidward,2," Huh? [he shakes his clarinet. Cut back to outside with SpongeBob and Patrick]
",1
37,SpongeBob,2," And now... with two hands! [he inhales deeply and blows out an elephant. Circus music, in particular part of the piece ""Entry of the Gladiators"", starts playing.]
",1
38,Patrick,2," [Laughs] It's a giraffe! [Patrick continues laughing as the elephant floats over into Squidward's house. SpongeBob then frowns as the bubble pops and tons of smaller bubbles come out of both windows of the house while an elephant sounds. Squidward opens the door with a sour look on his face. SpongeBob and Patrick hide behind the stand. SpongeBob places a ""Closed"" sign on it. Squidward looks over the stand]
",1
39,SpongeBob,2," Excuse me, sir, but we are clo-
",1
40,Squidward,2," Don't give me any of that! How can you two possibly make all this noise just blowing bubbles?!
",1
41,Squidward,2," That's not art. That's just annoying. Blowing bubbles, that's the lamest idea I have ever heard. [SpongeBob and Patrick, now depressed, head to SpongeBob's house] You should be ashamed of yourselves. [SpongeBob closes the door as Squidward laughs to himself] Bubbles. [he continues laughing] Art. [he mumbles, and picks up the bubble wand, sniffs it, and inhales to blow. Then, SpongeBob pops up out of nowhere]
",1
42,SpongeBob,2," That'll be 25 cents, sir.
",1
43,Squidward,2," Ah, whoa, what? [SpongeBob blinks] Oh... who-who would pay 25 cents to blow bubbles?
",1
44,SpongeBob,2," We also offer lessons for beginners. [he puts the ""Lessons"" sign up]
",1
45,Squidward,2," Beginners? What could be more simple than blowing a stupid bubble? [he pulls a quarter out] Here's your 25 cents! [SpongeBob bites it to see if it's real and it bends] Watch and learn. [he inhales and blows, but nothing happens] Uhh... wait, wait, wait. [he inhales and blows again, but nothing happens again] One more time. Here. Wait. [he inhales and blows again, and a small bubble comes out and instantly falls to the ground and bursts, making a raspberry sound. Looks over at SpongeBob and Patrick. They gulp, and then start whistling. Squidward places another quarter on the stand] Uhh... Just a mere warm-up. [he dips the wand in the bubble container, inhales deeply and blows hard. The bubble falls to the ground again, making another raspberry sound, gets another quarter out and puts it on the stand]
",1
46,SpongeBob,2," Hey, Squidward, remember the technique. [Squidward keeps trying to blow bubbles while SpongeBob and Patrick are trying to show him the technique]
",1
47,SpongeBob and Patrick,2," [while standing on one foot] Technique! Technique! Technique! Technique! Tech- [Squidward looks at them]
",1
48,SpongeBob,2," [weakly] You're not doing the technique.
",1
49,Patrick,2," Technique.
",1
50,Squidward,2," Technique? Technique!? Technique, technique, technique, technique, technique! [he starts to do the infamous routine, while imitating SpongeBob] First I do this, spin around. Stop. Double take three times. And here we go, pelvic thrust. Wehooooo! Wehoohoo! Oh, stop on your right foot, don't forget it. Then, bring it around town. And a little of this, a little of that, a little of this, this, this, this, that, that, that, that. And that, that, that that that that! And then... [Screams into the wand, blowing a gargantuan, unshaped bubble]
",1
51,SpongeBob and Patrick,2," Wow! [Squidward is then lifted off the ground. The bubble pops off the wand and Squidward falls back on the ground]
",1
52,SpongeBob,2," All right, Squid! That was so good!
",1
