index,character,episode,line,season,show,characters_spoken,words_spoken
1,Sheldon,1," So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it's unobserved it will, however, if it's observed after it's left the plane but before it hits its target, it will not have gone through both slits.",1,Big Bang Theory,280,54
2,Leonard,1," Agreed, what's your point?",1,Big Bang Theory,27,4
3,Sheldon,1," There's no point, I just think it's a good idea for a tee-shirt. ",1,Big Bang Theory,66,13
4,Leonard,1, Excuse me?,1,Big Bang Theory,11,2
6,Leonard,1," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is move your finger phylum, which makes fourteen across Port-au-Prince. See, Papa Doc's capital idea, that's Port-au-Prince. Haiti. ",1,Big Bang Theory,218,32
8,Leonard,1," Yes. Um, is this the High IQ sperm bank?",1,Big Bang Theory,41,9
10,Sheldon,1, I think this is the place.,1,Big Bang Theory,27,6
12,Leonard,1, Thank-you. We'll be right back.,1,Big Bang Theory,32,5
14,Sheldon,1," Leonard, I don't think I can do this.",1,Big Bang Theory,38,8
15,Leonard,1," What, are you kidding? You're a semi-pro. ",1,Big Bang Theory,43,7
16,Sheldon,1," No. We are committing genetic fraud. There's no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers.",1,Big Bang Theory,205,36
17,Leonard,1," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.",1,Big Bang Theory,99,17
18,Sheldon,1," I know, and I do yearn for faster downloads, but there's some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn't know if he should use an integral or a differential to solve the area under a curve.",1,Big Bang Theory,245,50
19,Leonard,1, I'm sure she'll still love him.,1,Big Bang Theory,32,6
20,Sheldon,1, I wouldn't.,1,Big Bang Theory,12,2
21,Leonard,1," Well, what do you want to do?",1,Big Bang Theory,30,7
22,Sheldon,1, I want to leave.,1,Big Bang Theory,17,4
23,Leonard,1, Okay.,1,Big Bang Theory,6,1
24,Sheldon,1, What's the protocol for leaving?,1,Big Bang Theory,33,5
25,Leonard,1," I don't know, I've never reneged on a proffer of sperm before.",1,Big Bang Theory,63,12
26,Sheldon,1, Let's try just walking out.,1,Big Bang Theory,28,5
27,Sheldon,1, Bye-bye,1,Big Bang Theory,8,1
28,Leonard,1, See you.,1,Big Bang Theory,9,2
30,Sheldon,1, Are you still mad about the sperm bank?,1,Big Bang Theory,40,8
31,Leonard,1, No.,1,Big Bang Theory,4,1
32,Sheldon,1, You want to hear an interesting thing about stairs?,1,Big Bang Theory,52,9
33,Leonard,1, Not really.,1,Big Bang Theory,12,2
34,Sheldon,1," If the height of a single step is off by as little as two millimetres, most people will trip.",1,Big Bang Theory,94,19
35,Leonard,1, I don't care. Two millimetres? That doesn't seem right.,1,Big Bang Theory,56,9
36,Sheldon,1," No, it's true, I did a series of experiments when I was twelve, my father broke his clavicle.",1,Big Bang Theory,94,18
37,Leonard,1, Is that why they sent you to boarding school?,1,Big Bang Theory,46,9
