index,character,episode,line,season,show,characters_spoken,words_spoken
0,Monica,1, There's nothing to tell! He's just some guyI work with!,1,Friends,56,10
1,Joey,1," C'mon, you're going out with the guy! There'sgotta be something wrong with him!",1,Friends,80,13
2,Chandler,1," All right Joey, benice. So does he have a hump? A hump and a hairpiece?",1,Friends,72,15
5,Monica,1," Okay, everybody relax. This is not even adate. It's just two people going out to dinner and- not having sex.",1,Friends,109,20
6,Chandler,1, Sounds like a date to me.,1,Friends,26,6
7,Chandler,1," Alright, so I'm back in high school, I'mstanding in the middle of the cafeteria, and I realize I am totally naked.",1,Friends,115,21
9,Chandler,1," Then I look down, and I realize there's aphone... there.",1,Friends,57,10
10,Joey,1, Instead of...?,1,Friends,15,2
11,Chandler,1, That's right.,1,Friends,14,2
12,Joey,1, Never had that dream.,1,Friends,22,4
14,Chandler,1," All of a sudden, the phone starts to ring.Now I don't know what to do, everybody starts looking at me. ",1,Friends,104,20
15,Monica,1, And they weren't looking atyou before?!,1,Friends,40,6
16,Chandler,1," Finally, I figureI'd better answer it, and it turns out it's my mother,which is very-very weird, because- she never calls me!",1,Friends,126,21
17,Ross,1,  Hi.,1,Friends,5,1
18,Joey,1," This guy says hello, I wanna kill myself.",1,Friends,42,8
19,Monica,1," Are you okay, sweetie?",1,Friends,23,4
20,Ross,1," I just feel like someone reached down mythroat, grabbed my small intestine, pulled it out of my mouth and tied it around myneck...",1,Friends,131,23
21,Chandler,1, Cookie?,1,Friends,8,1
22,Monica,1,  Carol moved herstuff out today. ,1,Friends,34,5
23,Joey,1, Ohh.,1,Friends,5,1
24,Monica,1,  Let me get you some coffee.,1,Friends,29,6
25,Ross,1, Thanks.,1,Friends,8,1
27,Ross,1," No, no don't! Stop cleansing my aura! No, justleave my aura alone, okay?",1,Friends,73,13
29,Ross,1," I'll be fine,alright? Really, everyone. I hope she'll be very happy.",1,Friends,69,11
30,Monica,1, No you don't.,1,Friends,14,3
31,Ross,1," No I don't, to hell with her, she left me!",1,Friends,43,10
32,Joey,1, And you never knew she was a lesbian...,1,Friends,40,8
33,Ross,1," No!! Okay?! Why does everyone keep fixating onthat? She didn't know, how should I know?",1,Friends,88,15
34,Chandler,1, Sometimes I wish I was a lesbian...  Did I say that out loud?,1,Friends,62,13
35,Ross,1," I told mom and dad last night,they seemed to take it pretty well.",1,Friends,66,13
36,Ross,1, Sorry.,1,Friends,7,1
37,Joey,1," Alright Ross, look. You're feeling a lot ofpain right now. You're angry. You're hurting. Can I tell you what the answer is?",1,Friends,124,22
38,Joey,1," Strip joint! C'mon, you're single! Have somehormones!",1,Friends,54,7
39,Ross,1," I don't want to be single, okay? I just... Ijust- I just wanna be married again!",1,Friends,81,16
40,Chandler,1, And I just want a million dollars! ,1,Friends,36,7
41,Monica,1, Rachel?!,1,Friends,9,1
42,Rachel,1," Oh God Monica hi! Thank God! I just went toyour building and you weren't there and then this guy with a big hammer said you might behere and you are, you are!",1,Friends,159,32
44,Monica,1,"  De-caff.  Okay,everybody, this is Rachel, another Lincoln High survivor.  This is everybody,this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? ",1,Friends,169,24
45,Rachel,1," Hi, sure!",1,Friends,10,2
46,Ross,1, Hi. ,1,Friends,5,1
47,Monica,1," So you wanna tell us now, or are we waitingfor four wet bridesmaids?",1,Friends,69,13
48,Monica,1, Who wasn't invited to the wedding.,1,Friends,35,6
49,Monica,1," Now I'm guessing that he bought her the bigpipe organ, and she's really not happy about it. ",1,Friends,93,17
50,Chandler,1, Tuna or egg salad? Decide!,1,Friends,27,5
51,Ross,1,  I'll havewhatever Christine is having.,1,Friends,40,5
52,Rachel,1,"  Daddy, I just... I can't marryhim! I'm sorry. I just don't love him. Well, it matters to me! ",1,Friends,95,18
54,Chandler,1,"  Ooh, she should not be wearingthose pants. ",1,Friends,45,7
55,Joey,1, I say push her down the stairs. ,1,Friends,33,7
57,Rachel,1," C'mon Daddy, listen to me! It's like, it'slike, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're ashoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be ashoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want youto buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",1,Friends,372,78
58,Ross,1, You can see where he'd have trouble.,1,Friends,37,7
59,Rachel,1," Look Daddy, it's my life. Well maybe I'lljust stay here with Monica. ",1,Friends,70,12
60,Monica,1," Well, I guess we've established who'sstaying here with Monica...",1,Friends,65,9
