index,character,episode,line,season,show,characters_spoken,words_spoken
11,Marshall,1,  Will you marry me.,1,How I Met Your Mother,20,4
12,Ted,1," Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.",1,How I Met Your Mother,155,28
13,Marshall,1," Got it. Thanks for helping me plan this out, Ted.",1,How I Met Your Mother,50,10
14,Ted,1," Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",1,How I Met Your Mother,157,30
15,Marshall,1,"  yeah, sorry. We thought you were asleep.",1,How I Met Your Mother,42,7
16,Ted,1," It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",1,How I Met Your Mother,113,19
17,Marshall,1," Yeah, what are you doing tonight?",1,How I Met Your Mother,34,6
21,Barney,1,"  hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite",1,How I Met Your Mother,102,20
22,Ted,1," Hey, you wanna do something tonight?",1,How I Met Your Mother,37,6
23,Barney,1," Okay, meet me at the bar in fifteen minutes, and Suit up!",1,How I Met Your Mother,58,12
27,Ted,1, Hey.,1,How I Met Your Mother,5,1
28,Barney,1," Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",1,How I Met Your Mother,78,17
29,Ted,1, I did that one time.,1,How I Met Your Mother,21,5
30,Barney,1, It was a blazer!,1,How I Met Your Mother,17,4
31,Ted,1," You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".",1,How I Met Your Mother,228,39
33,Barney,1, I see what this is about. Have you forgotten what I said to you the night we met?,1,How I Met Your Mother,82,18
37,Barney,1," Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",1,How I Met Your Mother,72,15
38,Ted,1," Oh, right. Hi.",1,How I Met Your Mother,15,3
39,Barney,1," Lesson one, lose the goatee. It doesn't look good with your suit.",1,How I Met Your Mother,66,12
40,Ted,1, I'm not wearing a suit.,1,How I Met Your Mother,24,5
41,Barney,1," Lesson two, get a suit. Suits are cool.  Exhibit A.  Lesson three, don't even think about getting married till you're... thirty.",1,How I Met Your Mother,129,21
43,Ted,1," Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",1,How I Met Your Mother,117,18
44,Barney,1," I thought I was your best friend. Ted, say I'm your best friend.",1,How I Met Your Mother,65,13
45,Ted,1," You're my best friend, Barney.",1,How I Met Your Mother,31,5
46,Barney,1," Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""",1,How I Met Your Mother,93,18
