index,character,episode,line,season,show,characters_spoken,words_spoken
1,Summer,1,"Hurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom.",2,Rick and Morty,107,19
3,Morty,1,"I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!",2,Rick and Morty,76,16
5,Summer,1,Then you've been doing itwrongfor six months. Oh my god is that mildew?,2,Rick and Morty,71,13
7,Morty,1,It's not my fault we froze time on a humid day!,2,Rick and Morty,47,11
9,Summer,1,"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?",2,Rick and Morty,103,20
11,Morty,1,What? What kind of monster are you?,2,Rick and Morty,35,7
13,Summer,1,A competent one.,2,Rick and Morty,16,3
15,Rick,1,Who cares about the *belch* thing you guys are talking about. The whole point of freezing time is to stop giving a f***. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,2,Rick and Morty,212,41
19,Rick,1,"Alright, listen you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.",2,Rick and Morty,185,36
21,Morty,1,Our time is gonna be unstable? What does that even mean?,2,Rick and Morty,56,11
23,Rick,1,"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.",2,Rick and Morty,174,31
25,Morty,1,"Wait a minute, what?",2,Rick and Morty,20,4
27,Rick,1,And away we go!,2,Rick and Morty,15,4
33,Morty,1,"Uh, did we ever put that mattress under Mr. Benson?",2,Rick and Morty,51,10
35,Rick,1,"Shhh, Morty!",2,Rick and Morty,12,2
39,Jerry,1,"...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed.",2,Rick and Morty,127,23
41,Rick,1,"Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety.",2,Rick and Morty,83,13
43,Beth,1,"Hi, dad.",2,Rick and Morty,8,2
47,Beth,1,"Summer, Morty, are you okay?",2,Rick and Morty,28,5
49,Morty,1,W-We just missed you a lot.,2,Rick and Morty,27,6
51,Summer,1,"Yeah, we missed you so much. Too much to hug you though.",2,Rick and Morty,56,12
55,Rick,1,"Yeah it would literally destroy them. Now listen, why doi'why doi'whyi'why don't you guys go get a free sunday ice cream,  go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts.",2,Rick and Morty,297,57
57,Jerry,1,"This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket.",2,Rick and Morty,137,30
59,Beth,1,"Sweety, is your shirt on backwards?",2,Rick and Morty,35,6
63,Summer,1,*Gasp*,2,Rick and Morty,6,1
65,Morty,1,Oh!,2,Rick and Morty,3,1
67,Rick,1,Uh oh.,2,Rick and Morty,6,2
71,Jerry,1,"Yeah, I like it this way. I'm not stupid.",2,Rick and Morty,41,9
75,Morty,1,Phew...,2,Rick and Morty,7,1
77,Summer,1, *Exhales*,2,Rick and Morty,10,1
81,Jerry,1,Man that guy is the Red Grin Grumble to pretending he knows what's going on.,2,Rick and Morty,76,15
85,Rick,1,"Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep.",2,Rick and Morty,171,30
95,Summer,1,"God, I feel terrible.",2,Rick and Morty,21,4
97,Rick,1,"Yup, it really makes you appreciate how fickle the universe can be. One minute you're falling off a roof for six months, the next minute, bam!",2,Rick and Morty,142,26
101,Morty,1,"Uh, just to be clear, it was Summer's job to put the mattress under-",2,Rick and Morty,68,14
103,Summer,1," Uh, what? It was your job, Morty. ",2,Rick and Morty,35,7
105,Morty,1,Nuh uh!,2,Rick and Morty,7,2
107,Summer,1,Yeah huh!,2,Rick and Morty,9,2
109,Rick,1,"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.",2,Rick and Morty,200,37
111,Morty,1,"Boom! In your face Summer! You really dropped the ball, man.",2,Rick and Morty,60,11
113,Summer,1,"Shut up Morty, you vindictive little turd!",2,Rick and Morty,42,7
115,Morty,1,You shut up you big... female asshole!,2,Rick and Morty,38,7
121,Summer,1,I didn't!,2,Rick and Morty,9,2
123,Morty,1,You didn't what?,2,Rick and Morty,16,3
127,Morty,1,What's yours?,2,Rick and Morty,13,2
131,Morty,1,You shut up!,2,Rick and Morty,12,3
133,Rick,1,Whoa whoa wh-what the hell hell hell hell hell?,2,Rick and Morty,47,9
137,Rick,1,"Oh god, oh no, what did you guys just do?",2,Rick and Morty,41,10
139,Summer,1,What do you mean?,2,Rick and Morty,17,4
