index,character,episode,line,season,show,characters_spoken,words_spoken
2,George,1, Are you through? ,1,Seinfeld,18,3
3,Jerry,1," You do of course try on, when you buy?",1,Seinfeld,39,9
4,George,1," Yes, it was purple, I liked it, I don't actually recall               considering the buttons.",1,Seinfeld,95,14
5,Jerry,1," Oh, you don't recall?",1,Seinfeld,22,4
6,George,1,"  Uh, no, not at               this time.",1,Seinfeld,41,6
7,Jerry,1," Well, senator, I just like to know, what you knew and when               you knew it. ",1,Seinfeld,87,15
9,George,1," Are, are you sure this is decaf? Where's the orange indicator?",1,Seinfeld,63,11
10,Jerry,1," Can you relax, it's a cup of coffee, Claire is a professional               waitress.",1,Seinfeld,86,13
11,George,1, How come you're not doin' the second show tomorrow?,1,Seinfeld,52,9
12,Jerry,1," Well, there's this uh, woman might be comin' in.",1,Seinfeld,49,9
13,George,1," Wait a second, wait a second, what coming in, what woman               is coming in?",1,Seinfeld,85,14
14,Jerry,1," I told you about Laura, the girl I met in Michigan?",1,Seinfeld,52,11
15,George,1," No, you didn't!",1,Seinfeld,16,3
16,Jerry,1," I thought I told you about it, yes, she teaches political               science? I met her the night I did the show in Lansing... There's no milk in here, what...",1,Seinfeld,163,29
17,George,1," Wait wait wait, what is she,  what is she like?",1,Seinfeld,48,10
18,Jerry,1," Oh, she's really great. I mean, she's got like a real warmth               about her and she's really bright and really pretty and uh...the               conversation though, I mean, it was...talking with her is like talking               with you, but, ya know, obviously much better.",1,Seinfeld,286,42
19,George,1,"  So, ya know, what, what happened?",1,Seinfeld,35,6
20,Jerry,1," Oh, nothing happened, ya know, but is was great.",1,Seinfeld,49,9
21,George,1," Oh, nothing happened, but it was...",1,Seinfeld,36,6
22,Jerry,1, Yeah.,1,Seinfeld,6,1
23,George,1, This is great!,1,Seinfeld,15,3
24,Jerry,1, Yeah.,1,Seinfeld,6,1
25,George,1," So, ya know, she calls and says she wants to go out with               you tomorrow night? God bless! Devil you!",1,Seinfeld,113,20
26,Jerry,1," Yeah, well...not exactly. I mean, she said, you know, she               called this morning and said she had to come in for a seminar and               maybe we'll get together. ",1,Seinfeld,179,28
27,George,1,"  Ho ho ho, ""Had to""? ""Had               to come in""?",1,Seinfeld,53,9
28,Jerry,1," Yeah, but...",1,Seinfeld,13,2
29,George,1," ""Had to come in"" and ""maybe we'll get together""?               ""Had to"" and ""Maybe""?",1,Seinfeld,85,13
30,Jerry,1, Yeah!,1,Seinfeld,6,1
31,Jerry,1,"  What, are you serious...why, why did she call?",1,Seinfeld,48,8
32,George,1," How do I know, maybe, ya know, maybe she wanted to be polite.             ",1,Seinfeld,75,13
33,Jerry,1, To be polite? You are insane!,1,Seinfeld,30,6
34,George,1," All right, all right, I didn't want to tell you this, you               wanna know why she called you?",1,Seinfeld,103,18
35,Jerry,1, Yes!,1,Seinfeld,5,1
36,George,1," You're a back-up, you're a second-line, a just-in-case,               a B-plan of contingency!",1,Seinfeld,95,12
37,Jerry,1," Oh, I get it, this is about the button.",1,Seinfeld,40,9
38,George,1,"  Claire, Claire, you're a               woman, right?",1,Seinfeld,54,6
40,George,1," Uhm...I'd like to ask you...ask you to analyze a hypothetical               phone call, ya know, from a female point of view.",1,Seinfeld,126,20
41,Jerry,1,"  Oh, come on now, what are you asking her? Now,               how is she gonna know?",1,Seinfeld,85,15
42,George,1,"  Now, a woman calls me, all right? She says               she has to  come               to New York on business...",1,Seinfeld,116,18
43,Jerry,1, Oh you are beautiful!  ,1,Seinfeld,24,4
44,George,1," and, and maybe  she'll see me when               she gets there, does this woman intend to spend time with me?",1,Seinfeld,111,19
45,George,1,  So why did she call?,1,Seinfeld,22,5
47,George,1," To be polite, I rest my case.",1,Seinfeld,30,7
48,Jerry,1," Good. Did you have fun? You have no idea, what you're talking               about, now, come on, come with me , I, I gotta go get               my stuff out of the dryer anyway.",1,Seinfeld,178,32
49,George,1, I'm not gonna watch you do laundry.,1,Seinfeld,36,7
50,Jerry,1," Oh, come on, be a ""come-with-guy"".",1,Seinfeld,35,6
51,George,1," Come on, I'm tired.",1,Seinfeld,20,4
52,George,1,"  Right,               I knew I felt something...! ",1,Seinfeld,51,6
54,George,1," I need a break, Jerry, ya know, I gotta get out of the               city, I feel so cramped...",1,Seinfeld,96,18
55,Jerry,1, And you didn't even hear how she sounded.,1,Seinfeld,42,8
56,George,1, What?!,1,Seinfeld,7,1
57,Jerry,1, Laura.,1,Seinfeld,7,1
58,Jerry,1," Yeah, but how could you be so sure?",1,Seinfeld,36,8
59,George,1,"  'Cause it's signals, Jerry , it's signals! Don't you....all right. Did she even ask               you, what you were doin' tomorrow night, if you were busy?",1,Seinfeld,158,25
60,Jerry,1, No.,1,Seinfeld,4,1
61,George,1, She calls you today and she doesn't make a plan for tomorrow?               What is that? It's Saturday night!,1,Seinfeld,111,18
62,Jerry,1, Yeah.,1,Seinfeld,6,1
63,George,1," What is that? It's ridiculous!                You don't even know, what hotel she's staying at, you can't call               her. That's a signal, Jerry, that's a signal!  Signal!",1,Seinfeld,180,26
64,Jerry,1, Maybe you're right.,1,Seinfeld,20,3
65,George,1, Maybe I'm right? Of course I'm right.,1,Seinfeld,38,7
66,Jerry,1," This is insane. You know, I don't even know where she's               staying! She, she's not gonna call me, this is unbelievable.",1,Seinfeld,131,21
67,George,1,"  I know, I know.                Listen, your stuff has to be done by know, why don't               you just see if it's dried?",1,Seinfeld,127,21
68,Jerry,1," No no no, don't interrupt the cycle. The machine is working,               it, it knows what it's doing, just let it finish.",1,Seinfeld,125,21
69,George,1," You're gonna ""overdry"" it.",1,Seinfeld,27,4
70,Jerry,1," You, you can't ""overdry"".",1,Seinfeld,26,4
71,George,1, Why not?,1,Seinfeld,9,2
72,George,1,  Any questions?,1,Seinfeld,16,2
75,Kramer,1,  Are you up?,1,Seinfeld,13,3
76,Jerry,1,"  Yeah... Yeah, people do move!               Have you ever seen the big trucks out on the street? Yeah, no problem               .",1,Seinfeld,131,20
77,Kramer,1," Boy, the Mets blew it tonight, huh? ",1,Seinfeld,37,7
