id,character,episode,line,season,show,characters_spoken,words_spoken,,,character,episode,line,season,show,characters_spoken,words_spoken
1,Stan,1,"You guys, you guys! Chef is going away. ",10,Southpark,40,8,,,,,,,,,
2,Kyle,1,Going away? For how long?,10,Southpark,25,5,,,,,,,,,
3,Stan,1,Forever.,10,Southpark,8,1,,,,,,,,,
4,Chef,1,I'm sorry boys.,10,Southpark,15,3,,,,,,,,,
5,Stan,1,"Chef said he's been bored, so he joining a group called the Super Adventure Club. ",10,Southpark,82,15,,,,,,,,,
6,Chef,1,Wow!,10,Southpark,4,1,,,,,,,,,
8,Chef,1,What's the meaning of life? Why are we here?,10,Southpark,44,9,,,,,,,,,
10,Cartman,1,I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! ,10,Southpark,83,17,,,,,,,,,
11,Stan,1,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend. ",10,Southpark,60,11,,,,,,,,,
18,Randy,1,"Good-bye, Chef! Have a great time with the Super Adventure Club!",10,Southpark,64,11,,,,,,,,,
19,Chef,1,Good-bye! ..,10,Southpark,12,2,,,,,,,,,
20,Kyle,1,"Draw two card, fatass.",10,Southpark,22,4,,,,,,,,,
21,Cartman,1,"Reverse to you, Jew. ",10,Southpark,21,4,,,,,,,,,
22,Stan,1,I'll get it. ,10,Southpark,13,3,,,,,,,,,
23,Chef,1,"Hello there, children!",10,Southpark,22,3,,,,,,,,,
24,Stan,1,He's back!,10,Southpark,10,2,,,,,,,,,
25,Kyle,1,Yeah!,10,Southpark,5,1,,,,,,,,,
26,Cartman,1,All right! ,10,Southpark,11,2,,,,,,,,,
27,Kyle,1,Chef! I can't believe you're back!,10,Southpark,34,6,,,,,,,,,
28,Chef,1,"Well, it's true.",10,Southpark,16,3,,,,,,,,,
29,Stan,1,But are you back for good?,10,Southpark,26,6,,,,,,,,,
30,Chef,1,That's right.,10,Southpark,13,2,,,,,,,,,
33,Randy,1,"Oh, finally! ",10,Southpark,13,2,,,,,,,,,
35,Chef,1,Yeah!,10,Southpark,5,1,,,,,,,,,
37,Chef,1,Nnono!,10,Southpark,6,1,,,,,,,,,
