,character,episode,line,season,show,characters_spoken,words_spoken
12,SpongeBob,2,"  Ahh, what a wonderful day. The sun is out, the water is shimmering, scallops are chirping. So peaceful. ",1,SpongeBob SquarePants,106,18
13,Squidward,2," Can we lower the volume, please? I can't work with all that racket going on!",1,SpongeBob SquarePants,77,15
14,SpongeBob,2," Oh, sure thing, Squidward.",1,SpongeBob SquarePants,27,4
15,Squidward,2, Yes. Mmm. Right. Mmm.,1,SpongeBob SquarePants,22,4
16,SpongeBob,2, Okay. ,1,SpongeBob SquarePants,7,1
17,Squidward,2," And now... for some soothing sounds from Squidward's clarinet. Thank you, thank you. ",1,SpongeBob SquarePants,86,13
18,Squidward,2, I thought I... Wha?,1,SpongeBob SquarePants,20,4
19,SpongeBob,2," Hey, Squidward! Wanna blow some bubbles? Only 25 cents.",1,SpongeBob SquarePants,56,9
20,Squidward,2," Oh, right. Like I would spend a moment of my time blowing bubbles.",1,SpongeBob SquarePants,67,13
21,SpongeBob,2, Uh huh!,1,SpongeBob SquarePants,8,2
22,Squidward,2," Oh, please! I mean, who in the world would pay to blow bubbles? ",1,SpongeBob SquarePants,65,13
23,Patrick,2, Good morning! ,1,SpongeBob SquarePants,15,2
24,Squidward,2," Oh, boy. ",1,SpongeBob SquarePants,10,2
25,SpongeBob,2," Good morning to you, sir. Would you care to blow a bubble?",1,SpongeBob SquarePants,59,12
26,Patrick,2," Hmm, how much is it?",1,SpongeBob SquarePants,21,5
27,SpongeBob,2, Only a quarter.,1,SpongeBob SquarePants,16,3
28,Patrick,2," Sounds reasonable.  Uh, I'm going to need to borrow a quarter.",1,SpongeBob SquarePants,63,11
29,SpongeBob,2," Sure thing, Patrick. ",1,SpongeBob SquarePants,22,3
30,Patrick,2," Ah, one quarter. ",1,SpongeBob SquarePants,18,3
31,SpongeBob,2, Thank you. ,1,SpongeBob SquarePants,12,2
32,Squidward,2," Hmm, business is booming.  How did I ever get surrounded by such loser neighbors? Uh huh. ",1,SpongeBob SquarePants,91,16
33,SpongeBob,2," One bubble wand, dipped and ready to go.  Could I interest you in some lessons? Only 25 cents.",1,SpongeBob SquarePants,95,18
34,Patrick,2," Uh, very well, then. Hey, Sponge, can I borrow another quarter?  Thanks. ",1,SpongeBob SquarePants,74,12
35,Patrick,2, Oooh.  Ah! ,1,SpongeBob SquarePants,12,2
36,Squidward,2, Huh? ,1,SpongeBob SquarePants,6,1
37,SpongeBob,2, And now... with two hands! ,1,SpongeBob SquarePants,28,5
38,Patrick,2,  It's a giraffe! ,1,SpongeBob SquarePants,18,3
39,SpongeBob,2," Excuse me, sir, but we are clo-",1,SpongeBob SquarePants,32,7
40,Squidward,2, Don't give me any of that! How can you two possibly make all this noise just blowing bubbles?!,1,SpongeBob SquarePants,95,18
